trialnum,time,state,mapAngle,viewAngle,posx,posy,posz,rotx,roty,rotz,gazex,gazey,gazez
1,0.05637741,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.365172,93.89706,1.451987,-995.4807,-1000.29,-1000.547
1,0.06053925,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.249741,93.93002,1.393424,-995.4796,-1000.239,-1000.548
1,0.08338547,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.244495,93.92625,1.394735,-995.4796,-1000.23,-1000.55
1,0.09883881,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.248437,93.92664,1.382885,-995.4793,-1000.223,-1000.548
1,0.1119995,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.26485,93.93354,1.360883,-995.4797,-1000.229,-1000.549
1,0.1272163,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.30136,93.94229,1.340921,-995.4799,-1000.231,-1000.549
1,0.1413689,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.320268,93.95911,1.347261,-995.48,-1000.233,-1000.546
1,0.1542816,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.329344,93.97333,1.366093,-995.4802,-1000.239,-1000.544
1,0.1685715,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.316185,93.99035,1.400829,-995.4786,-1000.247,-1000.518
1,0.1821747,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.307157,94.00311,1.427209,-995.4737,-1000.339,-1000.415
1,0.1955376,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.289008,94.01289,1.442062,-995.4702,-1000.413,-1000.339
1,0.209343,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.26901,94.02071,1.45685,-995.4701,-1000.412,-1000.34
1,0.2228088,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.249539,94.02691,1.467922,-995.4681,-1000.446,-1000.302
1,0.2362785,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.230752,94.02747,1.463229,-995.4667,-1000.46,-1000.279
1,0.2497749,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.179007,94.01775,1.429801,-995.4656,-1000.464,-1000.263
1,0.2629738,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.152256,94.00471,1.411412,-995.4653,-1000.46,-1000.262
1,0.276413,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.110259,93.98503,1.399977,-995.4645,-1000.456,-1000.254
1,0.2896957,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.088938,93.96128,1.39987,-995.4642,-1000.461,-1000.25
1,0.3030357,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.064799,93.94465,1.390693,-995.4639,-1000.459,-1000.247
1,0.3163834,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.057663,93.9353,1.390644,-995.4615,-1000.376,-1000.235
1,0.3297386,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.054332,93.92989,1.392083,-995.4526,-1000.078,-1000.187
1,0.3430557,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.053011,93.93021,1.391549,-995.4526,-1000.077,-1000.186
1,0.3564262,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.048549,93.94096,1.398232,-995.4463,-999.8415,-1000.158
1,0.369812,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.032308,93.95512,1.410379,-995.4435,-999.737,-1000.146
1,0.3831291,Show Map Crossing: 0,0,0,-1000,-1000,-1000,1.008979,93.97197,1.431279,-995.4426,-999.6887,-1000.144
1,0.3964462,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.9782782,93.98288,1.445697,-995.4423,-999.6634,-1000.145
1,0.4098816,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.9584682,93.98322,1.451383,-995.4425,-999.661,-1000.145
1,0.4231644,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.9392764,93.98087,1.445121,-995.442,-999.6399,-1000.141
1,0.4367905,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.9021757,93.97268,1.440208,-995.4418,-999.629,-1000.138
1,0.4503098,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.8362197,93.96956,1.442369,-995.4418,-999.619,-1000.135
1,0.4631958,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.7963663,93.97377,1.437563,-995.4423,-999.6052,-1000.135
1,0.4765625,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.7498369,93.98186,1.423087,-995.4426,-999.5994,-1000.136
1,0.4898338,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.6611345,93.99429,1.411153,-995.4431,-999.5956,-1000.137
1,0.50317,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.5461177,93.9951,1.41353,-995.4438,-999.5809,-1000.138
1,0.516777,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.3594591,93.99401,1.410758,-995.4452,-999.5697,-1000.143
1,0.5299492,Show Map Crossing: 0,0,0,-1000,-1000,-1000,0.02175912,93.99853,1.382895,-995.4467,-999.5387,-1000.141
1,0.5441818,Show Map Crossing: 0,0,0,-1000,-1000,-1000,359.436,94.01294,1.314368,-995.4498,-999.5121,-1000.142
1,0.5566368,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.8694,94.02242,1.241015,-995.4562,-999.4478,-1000.147
1,0.5700111,Show Map Crossing: 0,0,0,-1000,-1000,-1000,358.2599,94.05169,1.169677,-995.4635,-999.3749,-1000.154
1,0.5834312,Show Map Crossing: 0,0,0,-1000,-1000,-1000,357.6825,94.06199,1.090257,-995.4722,-999.3,-1000.16
1,0.5967522,Show Map Crossing: 0,0,0,-1000,-1000,-1000,357.121,94.0761,1.045424,-995.4808,-999.243,-1000.16
1,0.610363,Show Map Crossing: 0,0,0,-1000,-1000,-1000,356.6144,94.07568,1.00911,-995.4894,-999.1989,-1000.161
1,0.6234131,Show Map Crossing: 0,0,0,-1000,-1000,-1000,356.0679,94.06787,0.9424474,-995.4982,-999.1541,-1000.164
1,0.6367149,Show Map Crossing: 0,0,0,-1000,-1000,-1000,355.5107,94.06565,0.8260147,-995.5065,-999.1347,-1000.172
1,0.6503105,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.9631,94.06065,0.6992238,-995.5203,-999.0092,-1000.139
1,0.6637039,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.5502,94.06949,0.5865901,-995.531,-998.9663,-1000.14
1,0.6768379,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.2426,94.07627,0.4968612,-995.5396,-998.9338,-1000.141
1,0.6901855,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.102,94.09483,0.4330387,-995.5461,-998.9098,-1000.142
1,0.7034988,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.1299,94.12363,0.3849573,-995.5186,-999.3947,-1000.43
1,0.7168388,Show Map Crossing: 0,0,0,-1000,-1000,-1000,354.3846,94.15757,0.3526762,-995.4559,-1000.11,-1000.579
